threshold,precision,recall,f1,true_positives,true_negatives,false_positives,false_negatives,fp_rate,fp_cost_unit,fn_cost_unit,total_cost,avg_cost_per_return
0.3,0.8007,0.8771,0.8372,11159,4500,2777,1564,0.3816,100.0,500.0,1059700.0,52.985
0.4,0.8454,0.8131,0.8289,10345,5385,1892,2378,0.26,100.0,500.0,1378200.0,68.91
0.5,0.8838,0.7416,0.8065,9435,6037,1240,3288,0.1704,100.0,500.0,1768000.0,88.4
0.6,0.913,0.662,0.7675,8423,6474,803,4300,0.1103,100.0,500.0,2230300.0,111.515
0.7,0.9367,0.5665,0.706,7207,6790,487,5516,0.0669,100.0,500.0,2806700.0,140.335
0.8,0.9591,0.4666,0.6277,5936,7024,253,6787,0.0348,100.0,500.0,3418800.0,170.94
